Uid,Sid,Key,Time,Category,Value,UpdateTime
6598522265,xiaomisports_app,outdoor_running,1683114606,running,"{""time"":1683114606,""timezone"":4,""version"":1,""start_time"":1683114606,""end_time"":1683118336,""proto_type"":1,""sport_type"":1,""duration"":3549,""distance"":7200,""calories"":577,""max_pace"":283,""min_pace"":2433,""avg_pace"":492,""max_speed"":12.6972,""steps"":7148,""max_cadence"":10680,""avg_cadence"":155,""avg_hrm"":145,""max_hrm"":180,""min_hrm"":76,""rise_height"":0,""fall_height"":0,""avg_height"":137.5,""max_height"":141,""min_height"":134}",1684697150
6598522265,xiaomisports_app,outdoor_running,1683626279,running,"{""time"":1683626279,""timezone"":4,""version"":1,""start_time"":1683626279,""end_time"":1683628731,""proto_type"":1,""sport_type"":1,""duration"":2427,""distance"":7159,""calories"":582,""max_pace"":211,""min_pace"":4405,""avg_pace"":338,""max_speed"":17.0136,""steps"":6155,""max_cadence"":10800,""avg_cadence"":152,""avg_hrm"":176,""max_hrm"":190,""min_hrm"":104,""rise_height"":0,""fall_height"":0,""avg_height"":140.5,""max_height"":143,""min_height"":138}",1684697150
6598522265,xiaomisports_app,outdoor_running,1683706816,running,"{""time"":1683706816,""timezone"":4,""version"":1,""start_time"":1683706816,""end_time"":1683707521,""proto_type"":1,""sport_type"":1,""duration"":705,""distance"":2216,""calories"":152,""max_pace"":235,""min_pace"":1121,""avg_pace"":317,""max_speed"":15.263999,""steps"":1804,""max_cadence"":10440,""avg_cadence"":155,""avg_hrm"":161,""max_hrm"":181,""min_hrm"":93,""rise_height"":0,""fall_height"":0,""avg_height"":144,""max_height"":144,""min_height"":144}",1684697149
6598522265,xiaomisports_app,outdoor_running,1683829770,running,"{""time"":1683829770,""timezone"":4,""version"":1,""start_time"":1683829770,""end_time"":1683832140,""proto_type"":1,""sport_type"":1,""duration"":2367,""distance"":7168,""calories"":515,""max_pace"":161,""min_pace"":3676,""avg_pace"":330,""max_speed"":22.2768,""steps"":6248,""max_cadence"":10800,""avg_cadence"":158,""avg_hrm"":161,""max_hrm"":181,""min_hrm"":95,""rise_height"":0,""fall_height"":0,""avg_height"":143.5,""max_height"":146,""min_height"":141}",1684697149
6598522265,xiaomisports_app,outdoor_running,1683968673,running,"{""time"":1683968673,""timezone"":4,""version"":1,""start_time"":1683968673,""end_time"":1683970925,""proto_type"":1,""sport_type"":1,""duration"":2252,""distance"":7158,""calories"":528,""max_pace"":180,""min_pace"":1594,""avg_pace"":314,""max_speed"":19.9008,""steps"":5965,""max_cadence"":0,""avg_cadence"":159,""avg_hrm"":173,""max_hrm"":186,""min_hrm"":106,""rise_height"":0,""fall_height"":0,""avg_height"":0,""max_height"":0,""min_height"":0}",1684697148
6598522265,xiaomisports_app,outdoor_running,1684049934,running,"{""time"":1684049934,""timezone"":4,""version"":1,""start_time"":1684049934,""end_time"":1684052130,""proto_type"":1,""sport_type"":1,""duration"":2196,""distance"":7141,""calories"":521,""max_pace"":164,""min_pace"":1166,""avg_pace"":307,""max_speed"":21.942,""steps"":5912,""max_cadence"":10320,""avg_cadence"":161,""avg_hrm"":175,""max_hrm"":189,""min_hrm"":107,""rise_height"":0,""fall_height"":0,""avg_height"":146,""max_height"":146,""min_height"":146}",1684697147
6598522265,xiaomisports_app,outdoor_running,1684081879,running,"{""time"":1684081879,""timezone"":4,""version"":1,""start_time"":1684081879,""end_time"":1684084050,""proto_type"":1,""sport_type"":1,""duration"":2172,""distance"":7148,""calories"":516,""max_pace"":198,""min_pace"":1531,""avg_pace"":303,""max_speed"":18.147598,""steps"":5775,""max_cadence"":10800,""avg_cadence"":160,""avg_hrm"":175,""max_hrm"":188,""min_hrm"":124,""rise_height"":0,""fall_height"":0,""avg_height"":143,""max_height"":143,""min_height"":143}",1684697147
6598522265,xiaomisports_app,outdoor_running,1684157910,running,"{""time"":1684157910,""timezone"":4,""version"":1,""start_time"":1684157910,""end_time"":1684160096,""proto_type"":1,""sport_type"":1,""duration"":2182,""distance"":7130,""calories"":516,""max_pace"":153,""min_pace"":2092,""avg_pace"":306,""max_speed"":23.403599,""steps"":5854,""max_cadence"":10440,""avg_cadence"":161,""avg_hrm"":174,""max_hrm"":185,""min_hrm"":81,""rise_height"":0,""fall_height"":0,""avg_height"":140.5,""max_height"":142,""min_height"":139}",1684697145
6598522265,xiaomisports_app,outdoor_running,1684174850,running,"{""time"":1684174850,""timezone"":4,""version"":1,""start_time"":1684174850,""end_time"":1684176072,""proto_type"":1,""sport_type"":1,""duration"":1222,""distance"":3824,""calories"":266,""max_pace"":244,""min_pace"":2392,""avg_pace"":319,""max_speed"":14.7024,""steps"":3171,""max_cadence"":10320,""avg_cadence"":157,""avg_hrm"":165,""max_hrm"":185,""min_hrm"":76,""rise_height"":0,""fall_height"":0,""avg_height"":141,""max_height"":141,""min_height"":141}",1684697144
6598522265,xiaomisports_app,outdoor_running,1684264555,running,"{""time"":1684264555,""timezone"":4,""version"":1,""start_time"":1684264555,""end_time"":1684266689,""proto_type"":1,""sport_type"":1,""duration"":2134,""distance"":7133,""calories"":516,""max_pace"":156,""min_pace"":1278,""avg_pace"":299,""max_speed"":23.075998,""steps"":5666,""max_cadence"":10200,""avg_cadence"":159,""avg_hrm"":178,""max_hrm"":188,""min_hrm"":107,""rise_height"":0,""fall_height"":0,""avg_height"":147,""max_height"":147,""min_height"":147}",1684697144
