Дата,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Велосипед (мс),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс),Продолжительность: Прочее (мс)
2023-12-01,261,2301.3774214711193,9448.709949195674,56.0,55,,,,0.5670554454313935,1.9800615990948445,0.25015749642677004,14132,,,,2765866,10326255,60161,
2023-12-02,294,2485.07099076693,13119.299280785832,22.0,22,,,,0.6269050326195618,2.279437320785766,0.24811780777618464,19416,,,,,16573738,126244,
2023-12-03,11,1622.2070788686199,773.1056565940373,3.0,3,,,,0.9160779750602661,1.668552773903939,0.2501575156369456,1126,,,,,589996,60158,
2023-12-04,152,2146.369090181775,13275.776291074559,136.0,88,,,,0.7012751158078472,2.6489436713802883,0.2501575156369456,16160,,,,,9211788,,
2023-12-05,37,1690.6967257131107,2076.6500217233156,11.0,9,,,,0.42722438002062557,1.8764964853558892,0.2501575156369456,3066,,,,,2010046,,
2023-12-06,84,1848.9146493016756,4855.948505480948,23.0,23,,,,0.59706187715823,1.784001903663817,0.2501575156369456,6802,,,,,4970049,,
2023-12-07,148,2186.7773126492916,12968.665031304543,131.0,78,,,,0.7209665210802451,2.7816061654661586,0.2615283118022613,15643,,,,,7302954,900188,
2023-12-08,188,2120.6439355171974,8925.134999840147,16.0,16,,,,0.7610442765994123,1.566207149031777,0.2501575156369456,12960,,,,,10053565,,
2023-12-09,175,2186.1694413379696,8060.385259102717,14.0,14,,,,0.6781247829406143,1.9383569290255533,0.2501575156369456,11937,,,,,11279408,,
2023-12-10,17,1619.6063687657806,803.3777566519442,3.0,3,,,,0.8002283443036257,1.5808397067464997,0.29197479454448333,1263,,,,,680154,,
2023-12-11,72,1806.6324720215907,4655.7699387112925,31.0,31,,,,0.7139643466670144,1.6869495580525091,0.2501575156369456,6331,,,,,4179035,,
2023-12-12,47,1702.2586749719696,2544.4051526031035,15.0,15,,,,0.48698870167677916,1.737071147194352,0.28426990413289277,3510,,,,,2225467,,
2023-12-13,137,2115.9130080191458,12657.508934287976,130.0,81,,,,0.8086010941906079,3.033529011558851,0.2615283118022613,15211,,,,,8287500,77617,
2023-12-14,105,1902.9240676839077,5819.630836886175,30.0,30,,,,0.5374553343134457,1.8471818347795723,0.2615283118022613,8196,,,,,5980457,,
2023-12-15,286,2130.8521723742397,11163.441675879301,30.0,29,,,,0.5549012767558116,1.7883340336533464,0.2514988216099307,16739,,,,1347755,8660491,60109,
2023-12-16,166,2071.1903832900075,7412.059662810367,10.0,10,,,,0.5978386121131039,1.8402673936677878,0.2501575156369456,11322,,,,,9126105,,
2023-12-17,10,1610.0050623357486,643.1830506337944,3.0,3,,,,0.4277234221817337,1.7473843356537055,0.2615283118022613,1040,,,,,491417,,
2023-12-18,28,1686.6004680303959,1535.6314814502748,5.0,5,,,,0.42669726561051124,1.6162566645379637,0.2501575156369456,2322,,,,,1931128,,
2023-12-19,95,1969.5511420612468,10009.80575153002,112.0,65,,,,0.6273604016607184,2.719969177582828,0.2501575156369456,11928,,,,,5838093,,
2023-12-20,28,1649.4233150063017,1655.4394776277659,9.0,9,,,,0.7726622160191053,1.8186003436848026,0.2501575156369456,2303,,,,,1237456,,
2023-12-21,255,2208.248243391098,11153.37864320609,24.0,24,,,,0.6501709633182473,1.9089400711111169,0.2501575156369456,16425,,,,,11692458,,
