Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Велосипед (мс),Продолжительность: Ходьба (мс)
15:30:00.000+02:00,15:45:00.000+02:00,,16.49218712747097,7.104356229333229,,,,,,,,,24,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,3,16.49218712747097,93.18606594875135,,,,,,0.34384001442050893,0.36793023076893716,0.3297530887941556,153,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,4,36.24204419828129,148.04776607241055,1.0,1,,,,0.46455546069734155,0.9246339572957596,0.30701149646352416,234,,,,77396,286614
16:15:00.000+02:00,16:30:00.000+02:00,15,68.0,,15.0,15,,,,,,,,,,,900000,
16:30:00.000+02:00,16:45:00.000+02:00,15,68.0,,15.0,15,,,,,,,,,,,900000,
16:45:00.000+02:00,17:00:00.000+02:00,15,68.0,,15.0,15,,,,,,,,,,,900000,
17:00:00.000+02:00,17:15:00.000+02:00,15,68.0,,15.0,15,,,,,,,,,,,900000,
17:15:00.000+02:00,17:30:00.000+02:00,8,51.348069290014855,38.911902585066315,8.0,8,,,,0.3129155016841413,0.3415610992353898,0.28426990413289277,57,,,,524830,90161
17:30:00.000+02:00,17:45:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,16.176600337917048,,,,,,,,,,18,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,,,,,,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,,,,,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,,,,,,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,,,,,,,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,,,,,,,,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,,,,,,,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,,,,,,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,,,,,,,,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,,,,,,,,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,,,,,,,,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,,,,,,,,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,,,,,,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,,,,,,,,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,,,,,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,,,,,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,,,,,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,,,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,,,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,,,,,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,,,,,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,,,,,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,,,,,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,,,,,,,,,,,,,,,,
