name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Warszaw,2023-05-27,18.8,6.8,13.7,18.8,5.2,13.3,1.6,47.9,0,0,0,,0,0.1,32.8,21.6,15.4,1025.2,24.3,19.3,298.1,25.9,8,10,2023-05-27T04:25:55,2023-05-27T20:41:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-28,19.6,7.8,14.7,19.6,6.9,14.7,2.6,45.8,0,0,0,,0,0,32.4,12.2,94.7,1021.8,58.6,19,285.5,24.7,8,10,2023-05-28T04:24:52,2023-05-28T20:42:26,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-29,22.6,8.4,16.9,22.6,8.4,16.9,5.8,51.6,0,0,0,,0,0,82.8,15.2,315.5,1018.6,53.2,19,293.6,25.4,9,10,2023-05-29T04:23:51,2023-05-29T20:43:40,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-30,21.2,12.8,17.6,21.2,12.8,17.6,4.4,43,0,0,0,,0,0,39.6,18.3,357,1020.3,33,19,308.4,26.8,8,10,2023-05-30T04:22:53,2023-05-30T20:44:52,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-31,22,9.8,16.5,22,8.7,16.5,1.7,40.4,0,0,0,,0,0,28.8,15.9,313.5,1021.9,18.3,19.1,310.6,26.9,8,10,2023-05-31T04:21:58,2023-05-31T20:46:03,0.38,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-01,26.1,7.8,18.4,26.1,7.8,18.4,5.9,46.6,0,0,0,,0,0,43.2,25.7,267.9,1013.9,16.7,17.8,304.2,26.4,8,10,2023-06-01T04:21:06,2023-06-01T20:47:11,0.41,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-02,16.5,10.3,13.3,16.5,10.3,13.3,6,64.8,0,0,0,,0,0,37.8,20.6,331.6,1015.2,59,18.1,124.1,10.8,4,10,2023-06-02T04:20:17,2023-06-02T20:48:18,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-03,17.9,4.1,12.2,17.9,1.5,11.5,0.9,48.9,0,0,0,,0,0,25.2,15.3,25,1023.3,27.6,19.4,309.5,26.7,8,10,2023-06-03T04:19:31,2023-06-03T20:49:22,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-04,21.5,6.2,15.4,21.5,6.2,15.3,1.5,42.1,0,0,0,,0,0.2,16.2,9.3,84,1022.6,26.4,19.2,300.6,26,8,10,2023-06-04T04:18:47,2023-06-04T20:50:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-05,24.5,7.4,17.8,24.5,7.4,17.8,3.7,43.4,0,0,0,,0,0,17.6,10.9,115,1022.2,17,19.2,308.2,26.4,8,10,2023-06-05T04:18:07,2023-06-05T20:51:23,0.54,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
